time,precipitation_sum,rain_sum,temperature_2m_max,temperature_2m_min,wind_speed_10m_max
2026-01-01,0.3,0.0,-6.3,-13.4,16.4
2026-01-02,3.0,0.1,0.1,-7.7,20.1
2026-01-03,0.5,0.0,0.4,-3.2,16.9
2026-01-04,1.0,0.0,-1.1,-5.5,16.7
2026-01-05,0.0,0.0,-4.0,-8.7,13.7
2026-01-06,9.7,1.8,-0.6,-5.6,20.8
2026-01-07,1.7,1.1,-0.7,-2.2,12.7
2026-01-08,16.1,12.3,1.1,-3.3,16.1
2026-01-09,4.7,0.2,-2.0,-8.4,21.0
2026-01-10,0.1,0.0,-8.6,-13.1,15.7
2026-01-11,0.0,0.0,-10.9,-17.6,11.4
2026-01-12,0.0,0.0,-11.9,-15.1,9.5
2026-01-13,0.6,0.0,-10.6,-16.8,7.8
2026-01-14,0.1,0.0,-10.6,-15.6,7.8
2026-01-15,0.0,0.0,-12.6,-18.1,9.0
2026-01-16,0.0,0.0,-11.6,-17.4,10.1
2026-01-17,0.0,0.0,-10.6,-16.1,12.1
2026-01-18,0.0,0.0,-11.8,-18.8,8.7
2026-01-19,0.0,0.0,-10.9,-16.8,5.9
2026-01-20,0.0,0.0,-7.3,-15.8,11.9
2026-01-21,0.0,0.0,-7.8,-14.9,11.1
2026-01-22,0.0,0.0,-3.4,-10.9,14.2
2026-01-23,1.3,0.0,-5.1,-8.9,14.6
2026-01-24,0.0,0.0,-8.5,-13.5,11.1
2026-01-25,0.1,0.1,-8.8,-12.9,13.3
2026-01-26,1.5,1.2,-3.0,-8.6,22.2
2026-01-27,4.8,4.8,-3.5,-5.0,19.3
2026-01-28,5.0,1.8,0.8,-4.7,9.9
2026-01-29,2.5,0.4,0.9,-2.5,15.7
2026-01-30,0.3,0.0,-3.5,-11.8,18.5
2026-01-31,0.0,0.0,-10.2,-13.5,20.7
2026-02-01,0.0,0.0,-12.9,-18.4,13.2
2026-02-02,0.0,0.0,-14.4,-21.6,11.8
2026-02-03,0.0,0.0,-11.9,-21.4,10.1
2026-02-04,1.5,0.0,-8.0,-20.7,17.1
2026-02-05,5.1,0.0,-6.6,-7.8,20.7
2026-02-06,0.5,0.0,-6.9,-8.2,17.9
2026-02-07,5.5,0.0,-4.5,-6.7,9.0
2026-02-08,0.6,0.0,-5.2,-8.7,17.6
2026-02-09,0.0,0.0,-8.8,-15.1,14.5
2026-02-10,0.0,0.0,-8.3,-21.0,16.4
2026-02-11,0.0,0.0,-0.9,-9.9,16.9
2026-02-12,0.2,0.2,2.0,-0.4,18.0
2026-02-13,0.0,0.0,2.4,0.6,12.5
2026-02-14,0.5,0.5,3.7,0.3,13.9
2026-02-15,10.8,0.0,1.2,-2.1,17.7
2026-02-16,2.3,0.0,-2.7,-8.6,22.0
2026-02-17,0.0,0.0,-7.0,-11.1,10.1
2026-02-18,1.9,0.0,-8.8,-12.6,14.8
2026-02-19,2.6,0.0,-3.9,-9.2,17.5
2026-02-20,0.0,0.0,-2.0,-8.4,15.1
2026-02-21,0.0,0.0,-5.4,-16.2,11.4
2026-02-22,0.0,0.0,1.2,-11.9,12.9
2026-02-23,5.7,4.1,2.7,0.9,17.8
2026-02-24,0.7,0.7,4.3,0.2,15.2
2026-02-25,3.2,0.5,1.2,-0.4,13.7
2026-02-26,0.0,0.0,-1.0,-3.5,15.7
2026-02-27,0.0,0.0,-0.8,-3.0,10.6
2026-02-28,0.0,0.0,1.6,-4.6,12.9
2026-03-01,0.0,0.0,4.6,-3.2,14.0
